HCHO Reading,Location,Current Date,Next Date,Year,Month,temperature_2m_mean,apparent_temperature_mean,windspeed_10m_max,et0_fao_evapotranspiration,elevation,precipitation_hours,shortwave_radiation_sum,rain_sum
0.0001262731392288,Colombo,2019-02-17,2019-02-18,2019,2,26.8,32.3,11.4,3.57,16.0,6.0,18.01,7.7
0.0002255146318446,Colombo,2019-02-18,2019-02-19,2019,2,27.1,32.8,10.0,4.28,16.0,8.0,21.28,1.8
0.0003180786698506,Colombo,2019-02-19,2019-02-20,2019,2,27.7,33.7,9.4,4.61,16.0,11.0,21.99,1.3
0.0002720768387394,Colombo,2019-02-20,2019-02-21,2019,2,27.7,32.7,8.0,4.72,16.0,4.0,22.24,0.5
0.0002230429464187,Colombo,2019-02-21,2019-02-22,2019,2,27.8,31.4,11.0,5.23,16.0,0.0,23.07,0.0
0.0003148949841717,Colombo,2019-02-22,2019-02-23,2019,2,27.6,31.7,12.1,4.99,16.0,0.0,23.61,0.0
0.0003274182238715,Colombo,2019-02-23,2019-02-24,2019,2,27.1,30.8,10.5,4.29,16.0,1.0,19.14,0.1
0.0002362989851716,Colombo,2019-02-24,2019-02-25,2019,2,26.8,31.6,10.7,4.1,16.0,2.0,19.66,0.3
0.0002424675429303,Colombo,2019-02-25,2019-02-26,2019,2,27.8,33.4,7.2,4.79,16.0,6.0,22.89,1.3
0.000156459748926,Colombo,2019-02-26,2019-02-27,2019,2,27.6,32.8,13.7,4.58,16.0,13.0,21.74,26.3
0.0001542016842877,Colombo,2019-02-27,2019-02-28,2019,2,26.7,31.5,15.4,2.87,16.0,10.0,12.75,10.4
0.0002270067709833,Colombo,2019-02-28,2019-03-01,2019,2,27.3,32.0,14.6,4.06,16.0,0.0,19.25,0.0
0.0001663931743162,Colombo,2019-03-01,2019-03-02,2019,3,28.2,33.3,10.1,4.71,16.0,3.0,21.74,0.4
-2.715724766397789e-05,Colombo,2019-03-02,2019-03-03,2019,3,28.6,33.2,12.9,5.44,16.0,2.0,24.28,0.6
0.0002934140276437,Colombo,2019-03-03,2019-03-04,2019,3,28.1,33.0,8.4,4.71,16.0,12.0,21.54,4.9
0.0002222321497741,Colombo,2019-03-04,2019-03-05,2019,3,27.3,31.4,12.2,3.12,16.0,5.0,12.83,1.4
0.000374082469529,Colombo,2019-03-05,2019-03-06,2019,3,28.1,32.8,11.4,4.77,16.0,0.0,21.99,0.0
0.000135851958492,Colombo,2019-03-06,2019-03-07,2019,3,28.1,33.0,11.9,4.45,16.0,2.0,20.3,0.3
0.0002023807303628,Colombo,2019-03-07,2019-03-08,2019,3,28.5,32.9,12.5,4.75,16.0,1.0,20.44,0.2
0.0001644238164367,Colombo,2019-03-08,2019-03-09,2019,3,28.7,33.5,14.0,4.9,16.0,0.0,22.02,0.0
8.084443465562647e-05,Colombo,2019-03-09,2019-03-10,2019,3,27.6,32.5,11.5,4.57,16.0,8.0,21.5,5.2
0.0002969609827467,Colombo,2019-03-10,2019-03-11,2019,3,28.6,33.4,11.7,5.34,16.0,0.0,24.35,0.0
0.0002401309050569,Colombo,2019-03-11,2019-03-12,2019,3,28.3,32.9,12.3,5.13,16.0,3.0,23.26,0.5
0.0002577451751777,Colombo,2019-03-12,2019-03-13,2019,3,27.5,32.5,9.3,5.03,16.0,6.0,24.19,0.9
0.0002548286008604,Colombo,2019-03-13,2019-03-14,2019,3,28.2,33.3,8.7,4.64,16.0,2.0,21.66,0.4
0.0003018449398759,Colombo,2019-03-14,2019-03-15,2019,3,29.2,33.9,10.7,5.16,16.0,0.0,22.24,0.0
0.0001790542755015,Colombo,2019-03-15,2019-03-16,2019,3,28.7,33.3,13.1,4.84,16.0,2.0,21.12,0.3
0.0003507194301071,Colombo,2019-03-16,2019-03-17,2019,3,28.3,33.2,10.0,4.9,16.0,6.0,22.63,1.9
0.0002494769497451,Colombo,2019-03-17,2019-03-18,2019,3,27.4,32.6,11.0,4.32,16.0,11.0,20.17,17.7
4.457512841327116e-05,Colombo,2019-03-18,2019-03-19,2019,3,27.2,32.6,8.4,4.41,16.0,6.0,20.75,15.0
0.0002074590335083,Colombo,2019-03-19,2019-03-20,2019,3,28.1,33.8,9.2,4.96,16.0,0.0,23.27,0.0
0.0002559950022304,Colombo,2019-03-20,2019-03-21,2019,3,28.2,33.8,8.7,5.25,16.0,2.0,24.92,0.2
-4.17166297978817e-06,Colombo,2019-03-21,2019-03-22,2019,3,27.7,33.4,9.7,4.7,16.0,6.0,22.59,7.9
0.0002689655073385,Colombo,2019-03-22,2019-03-23,2019,3,28.4,34.3,10.1,5.17,16.0,2.0,24.66,0.5
0.000144005550838,Colombo,2019-03-23,2019-03-24,2019,3,27.8,33.5,9.7,4.4,16.0,7.0,21.1,6.2
0.0002204458373225,Colombo,2019-03-24,2019-03-25,2019,3,28.7,34.2,11.0,5.22,16.0,0.0,24.2,0.0
0.0003577663287879,Colombo,2019-03-25,2019-03-26,2019,3,29.2,34.5,16.5,5.93,16.0,2.0,26.27,0.2
0.0002631266925609,Colombo,2019-03-26,2019-03-27,2019,3,28.9,33.8,13.0,5.39,16.0,4.0,24.43,0.5
0.0003646052956171,Colombo,2019-03-27,2019-03-28,2019,3,28.9,33.7,15.9,5.45,16.0,1.0,24.67,0.1
0.000374082469529,Colombo,2019-03-28,2019-03-29,2019,3,29.0,33.5,13.1,5.67,16.0,0.0,24.9,0.0
0.0002540006405394,Colombo,2019-03-29,2019-03-30,2019,3,28.9,33.5,15.1,5.66,16.0,0.0,25.1,0.0
0.0002202186895424,Colombo,2019-03-30,2019-03-31,2019,3,28.6,33.5,12.7,5.03,16.0,2.0,22.7,0.7
0.0001155774606754,Colombo,2019-03-31,2019-04-01,2019,3,29.0,33.5,15.4,5.47,16.0,0.0,23.82,0.0
0.0001234932174866,Colombo,2019-04-01,2019-04-02,2019,4,28.8,33.2,16.4,5.77,16.0,0.0,25.24,0.0
0.0002688230247372,Colombo,2019-04-02,2019-04-03,2019,4,29.0,33.3,14.2,5.57,16.0,0.0,23.99,0.0
0.000144982511753,Colombo,2019-04-03,2019-04-04,2019,4,29.3,33.3,14.1,5.92,16.0,1.0,24.61,0.3
0.0002401417063094,Colombo,2019-04-04,2019-04-05,2019,4,29.5,33.5,14.5,6.06,16.0,0.0,25.62,0.0
0.0001694011577926,Colombo,2019-04-05,2019-04-06,2019,4,29.4,34.1,14.5,5.86,16.0,1.0,26.19,0.6
