Location,Before Lockdown,During Lockdown,After Lockdown
"Bibile, Monaragala",0.00011274478571295529,0.00012177125650540051,0.00011925221946985162
Colombo,0.00015631070775685838,0.00013177677571295457,0.00014345102518300548
"Deniyaya, Matara",0.00011331561910582725,0.00010727690182555315,0.00011676374735969267
Jaffna,0.00010599735703871223,0.00011076007450838773,0.00010813470331738712
Kandy,0.00010296255640493219,9.494943348549637e-05,9.810675347853092e-05
Kurunegala,0.0001327826460977484,0.00012705082825809552,0.00011992946834666424
Nuwara Eliya,0.00010650900268114608,0.00010001243678177196,0.00010559322183106069
